index;nome;grupo;logo;url
1176;HBO Pop FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/HBO_Pop.svg/960px-HBO_Pop.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222778.ts
1177;HBO Plus+ SD;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3d/HBO_Plus.png;http://alphaboxapp3.click:80/878698658teste/181506425/222777.ts
1178;HBO Plus+ HD²;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3d/HBO_Plus.png;http://alphaboxapp3.click:80/878698658teste/181506425/222776.ts
1179;HBO Plus+ HD;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3d/HBO_Plus.png;http://alphaboxapp3.click:80/878698658teste/181506425/222775.ts
1180;HBO Plus+ FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3d/HBO_Plus.png;http://alphaboxapp3.click:80/878698658teste/181506425/222774.ts
1181;HBO Mundi SD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/HBO_Mundi.svg/960px-HBO_Mundi.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222773.ts
1182;HBO Mundi HD²;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/HBO_Mundi.svg/960px-HBO_Mundi.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222772.ts
1183;HBO Mundi HD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/HBO_Mundi.svg/960px-HBO_Mundi.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222771.ts
1184;HBO Mundi FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/HBO_Mundi.svg/960px-HBO_Mundi.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222770.ts
1185;HBO HD²;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222769.ts
1186;HBO HD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222768.ts
1187;HBO FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222767.ts
1188;HBO Family SD;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3a/HBO_Family_logo.png;http://alphaboxapp3.click:80/878698658teste/181506425/222766.ts
1189;HBO Family HD;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3a/HBO_Family_logo.png;http://alphaboxapp3.click:80/878698658teste/181506425/222765.ts
1190;HBO Family FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/3/3a/HBO_Family_logo.png;http://alphaboxapp3.click:80/878698658teste/181506425/222764.ts
1191;HBO 2 SD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222763.ts
1192;HBO 2 HD²;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222762.ts
1193;HBO 2 HD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222761.ts
1194;HBO 2 FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222760.ts
1195;TCM SD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/e/ef/Turner_Classic_Movies_%28TCM%2C_Latin_America%29_-_2015_logo.png;http://alphaboxapp3.click:80/878698658teste/181506425/222610.ts
1196;TCM HD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/e/ef/Turner_Classic_Movies_%28TCM%2C_Latin_America%29_-_2015_logo.png;http://alphaboxapp3.click:80/878698658teste/181506425/222609.ts
1197;TCM FHD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/e/ef/Turner_Classic_Movies_%28TCM%2C_Latin_America%29_-_2015_logo.png;http://alphaboxapp3.click:80/878698658teste/181506425/222608.ts
1198;TC Touch SD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/4/4c/Telecine_Touch_%282021%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/222607.ts
1199;TC Touch HD²;TELECINE;https://upload.wikimedia.org/wikipedia/commons/4/4c/Telecine_Touch_%282021%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/222606.ts
1200;TC Touch HD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/4/4c/Telecine_Touch_%282021%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/222605.ts
1201;TC Touch FHD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/a/a1/Telecine_Premium_%282021%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/222604.ts
1202;TC Premium SD;TELECINE;https://upload.wikimedia.org/wikipedia/commons/a/a1/Telecine_Premium_%282021%29.png;http://alphaboxapp3.click:80/878698658teste/181506425/222603.ts
